Epoch,Train Loss,Val Loss
1,3.3408853599293664,0.644971555785129
2,0.9270756282589653,0.5461126355748428
3,0.8467484704472802,0.49544139974995666
4,0.758363656157797,0.4585182673052738
5,0.6955744750120423,0.43524530984853443
6,0.6458270420404998,0.435954130009601
7,0.6057008223100142,0.43202747294777316
8,0.5756465231153098,0.4375473020892394
9,0.5462997874753042,0.4461660938827615
10,0.521897611326792,0.44388669650805623
11,0.491216619651426,0.4452591952524687
12,0.48204312700439583,0.4548137642835316
13,0.46948735354976223,0.4644085513918023
14,0.43582437133247204,0.4514509679455506
15,0.4263311650265347,0.43929080398459186
16,0.409319547589191,0.46550664211574355
17,0.40431666482578626,0.4499692214162726
18,0.3959972689774903,0.4503468560545068
19,0.3805606375702403,0.4588702728873805
20,0.3701779864389788,0.4550008436566905
